"Packet comments","No.","Time","Source","Destination","Protocol","Length","Info","Data Fragment","USB data","HID Data"
"","44","21.042069","1.4.1","host","USB","128","URB_INTERRUPT in","","04200203c208bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","45","21.543072","1.4.1","host","USB","128","URB_INTERRUPT in","","04200203c208bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","46","22.043073","1.4.1","host","USB","128","URB_INTERRUPT in","","04200203c008bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","47","22.544076","1.4.1","host","USB","128","URB_INTERRUPT in","","04200303c008bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","48","23.045081","1.4.1","host","USB","128","URB_INTERRUPT in","","04200303c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","49","23.546082","1.4.1","host","USB","128","URB_INTERRUPT in","","04200303c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","50","24.047085","1.4.1","host","USB","128","URB_INTERRUPT in","","04200303c008bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","51","24.548088","1.4.1","host","USB","128","URB_INTERRUPT in","","04200303c008bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","52","25.049090","1.4.1","host","USB","128","URB_INTERRUPT in","","04200403c008bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","53","25.550097","1.4.1","host","USB","128","URB_INTERRUPT in","","04200403c008c600000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","54","26.051098","1.4.1","host","USB","128","URB_INTERRUPT in","","04200403c008c600000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","55","26.552101","1.4.1","host","USB","128","URB_INTERRUPT in","","04200403c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","56","27.053104","1.4.1","host","USB","128","URB_INTERRUPT in","","04200503c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","57","27.554104","1.4.1","host","USB","128","URB_INTERRUPT in","","04200503c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","58","28.055110","1.4.1","host","USB","128","URB_INTERRUPT in","","04200503c008bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","59","28.556109","1.4.1","host","USB","128","URB_INTERRUPT in","","04200503c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","60","29.057112","1.4.1","host","USB","128","URB_INTERRUPT in","","04200503c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","61","29.558115","1.4.1","host","USB","128","URB_INTERRUPT in","","04200503c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","62","30.059120","1.4.1","host","USB","128","URB_INTERRUPT in","","04200603c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","63","30.560123","1.4.1","host","USB","128","URB_INTERRUPT in","","04200603c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","64","31.061123","1.4.1","host","USB","128","URB_INTERRUPT in","","04200603c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","65","31.562127","1.4.1","host","USB","128","URB_INTERRUPT in","","04200603c008bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","66","32.063131","1.4.1","host","USB","128","URB_INTERRUPT in","","04200603c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","67","32.564131","1.4.1","host","USB","128","URB_INTERRUPT in","","04200703c108c600000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","68","33.065134","1.4.1","host","USB","128","URB_INTERRUPT in","","04200703c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","69","33.566137","1.4.1","host","USB","128","URB_INTERRUPT in","","04200703c008bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","70","34.067140","1.4.1","host","USB","128","URB_INTERRUPT in","","04200703c008bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","71","34.568143","1.4.1","host","USB","128","URB_INTERRUPT in","","04200803c008bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","72","35.069148","1.4.1","host","USB","128","URB_INTERRUPT in","","04200803c008bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","73","35.570148","1.4.1","host","USB","128","URB_INTERRUPT in","","04200803c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","74","36.071151","1.4.1","host","USB","128","URB_INTERRUPT in","","04200803c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","75","36.572153","1.4.1","host","USB","128","URB_INTERRUPT in","","04200803c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","76","37.073156","1.4.1","host","USB","128","URB_INTERRUPT in","","04200803c108c600000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","77","37.574159","1.4.1","host","USB","128","URB_INTERRUPT in","","04200903c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","78","38.075162","1.4.1","host","USB","128","URB_INTERRUPT in","","04200903c108c600000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","79","38.576167","1.4.1","host","USB","128","URB_INTERRUPT in","","04200903c108c600000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","80","39.077168","1.4.1","host","USB","128","URB_INTERRUPT in","","04200903c108c600000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","81","39.578171","1.4.1","host","USB","128","URB_INTERRUPT in","","04200903c208bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","82","40.079172","1.4.1","host","USB","128","URB_INTERRUPT in","","04200903c108c600000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","83","40.580187","1.4.1","host","USB","128","URB_INTERRUPT in","","04210103c108bf00000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","84","41.081178","1.4.1","host","USB","128","URB_INTERRUPT in","","04210103c108bf00000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","85","41.582184","1.4.1","host","USB","128","URB_INTERRUPT in","","04210103c108c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","86","42.083184","1.4.1","host","USB","128","URB_INTERRUPT in","","04210103c108c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","87","42.584190","1.4.1","host","USB","128","URB_INTERRUPT in","","04210103c008bf00000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","88","43.085193","1.4.1","host","USB","128","URB_INTERRUPT in","","04210203c008c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","89","43.586192","1.4.1","host","USB","128","URB_INTERRUPT in","","04210203c108c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","90","44.087195","1.4.1","host","USB","128","URB_INTERRUPT in","","04210203c108c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","91","44.588201","1.4.1","host","USB","128","URB_INTERRUPT in","","04210203c208c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","92","45.089200","1.4.1","host","USB","128","URB_INTERRUPT in","","04210203c108c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","93","45.590203","1.4.1","host","USB","128","URB_INTERRUPT in","","04210203c108c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","94","46.091207","1.4.1","host","USB","128","URB_INTERRUPT in","","04210203c008c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","95","46.592208","1.4.1","host","USB","128","URB_INTERRUPT in","","04210303c008c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","96","47.093214","1.4.1","host","USB","128","URB_INTERRUPT in","","04210303c008bf00000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","97","47.594214","1.4.1","host","USB","128","URB_INTERRUPT in","","04210303c208c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","98","48.095217","1.4.1","host","USB","128","URB_INTERRUPT in","","04210303c108bf00000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","99","48.596223","1.4.1","host","USB","128","URB_INTERRUPT in","","04210303c108c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","100","49.097225","1.4.1","host","USB","128","URB_INTERRUPT in","","04210403c208c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","101","49.598229","1.4.1","host","USB","128","URB_INTERRUPT in","","04210403c108bf00000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","102","50.099228","1.4.1","host","USB","128","URB_INTERRUPT in","","04210403c008c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","103","50.600231","1.4.1","host","USB","128","URB_INTERRUPT in","","04210403c008c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","104","51.101234","1.4.1","host","USB","128","URB_INTERRUPT in","","04210403c108c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","105","51.602237","1.4.1","host","USB","128","URB_INTERRUPT in","","04210403c108c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","106","52.103239","1.4.1","host","USB","128","URB_INTERRUPT in","","04210603c108c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","107","52.604244","1.4.1","host","USB","128","URB_INTERRUPT in","","04210603c108c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","108","53.104245","1.4.1","host","USB","128","URB_INTERRUPT in","","04210603c108c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","109","53.605251","1.4.1","host","USB","128","URB_INTERRUPT in","","04210603c108c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","110","54.106251","1.4.1","host","USB","128","URB_INTERRUPT in","","04210603c208bf00000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","111","54.607253","1.4.1","host","USB","128","URB_INTERRUPT in","","04210603c108c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","112","55.108259","1.4.1","host","USB","128","URB_INTERRUPT in","","04210603c108c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","113","55.609261","1.4.1","host","USB","128","URB_INTERRUPT in","","04210703c108c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","114","56.110261","1.4.1","host","USB","128","URB_INTERRUPT in","","04210703c008c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","115","56.611265","1.4.1","host","USB","128","URB_INTERRUPT in","","04210703c008bf00000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","116","57.112267","1.4.1","host","USB","128","URB_INTERRUPT in","","04210703c008c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","117","57.613270","1.4.1","host","USB","128","URB_INTERRUPT in","","04210703c108c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","118","58.114273","1.4.1","host","USB","128","URB_INTERRUPT in","","04210703c208cd00000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","119","58.615276","1.4.1","host","USB","128","URB_INTERRUPT in","","04210803c108c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","120","59.116278","1.4.1","host","USB","128","URB_INTERRUPT in","","04210803c208c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","121","59.617281","1.4.1","host","USB","128","URB_INTERRUPT in","","04210803c108c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","122","60.118284","1.4.1","host","USB","128","URB_INTERRUPT in","","04210803c108c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","123","60.619286","1.4.1","host","USB","128","URB_INTERRUPT in","","04210803c208c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","124","61.120289","1.4.1","host","USB","128","URB_INTERRUPT in","","04210803c208c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","125","61.621292","1.4.1","host","USB","128","URB_INTERRUPT in","","04210903c108c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","126","62.122295","1.4.1","host","USB","128","URB_INTERRUPT in","","04210903c008c600000078060000021e0000000032000000210000001900000041910008â\200\246",""
